,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
5547,Haseeno Ka Badla,-1991.0,0,Action,6.0,,Lakshmi,Mammootty,,,Lakshmi Mammootty  
5548,Haseeno Ka Dalaal,-2004.0,0,Thriller,6.0,,Preeti Patel,Kirti Rawal,Vinod Tripathi,,Preeti Patel Kirti Rawal Vinod Tripathi 
5549,Haseeno Ka Mela,-2000.0,0,Romance,6.0,,Raj Devgan,Sandhya Mehra,Mac Mohan,Ram Mohan,Raj Devgan Sandhya Mehra Mac Mohan Ram Mohan
5550,Haseenon Ka Devata,-1971.0,131,"Action, Crime, Drama",5.4,10,Ravikant Nagaich,Sanjay Khan,Rekha,Sujit Kumar,Ravikant Nagaich Sanjay Khan Rekha Sujit Kumar
5551,Hasina Aur Nagina,-1996.0,0,Horror,3.0,6,Gautam Bhatia,Sadashiv Amrapurkar,Jagdeep,Arif Khan,Gautam Bhatia Sadashiv Amrapurkar Jagdeep Arif Khan
5552,Hasina Dacait,-2001.0,120,Action,6.0,,R. Mittal,Goga Kapoor,Ali Khan,Madhuri Mishra,R. Mittal Goga Kapoor Ali Khan Madhuri Mishra
5553,Hasino Ka Mela,-1990.0,0,Thriller,6.0,,Poonam Dasgupta,Kiran,Disco Shanti,,Poonam Dasgupta Kiran Disco Shanti 
5554,Haso Haso Ai Duniyawallaon,-1942.0,0,,6.0,,Dwarka Khosla,Rattan Bai,Shahzadi,Gope,Dwarka Khosla Rattan Bai Shahzadi Gope
5555,Hasrat,-1986.0,0,Romance,6.0,,Amir Bandhu Khan,Deepika Chikhalia,Raman Khanna,Paintal,Amir Bandhu Khan Deepika Chikhalia Raman Khanna Paintal
5556,Hasrat,-1946.0,0,Action,6.0,,Saila Mukherjee,Ranibala,Dilawar,Mehrunissa,Saila Mukherjee Ranibala Dilawar Mehrunissa
5557,Hastak,-1993.0,0,Drama,6.0,,,,,,   
5558,Haste Hasate,-1998.0,140,Comedy,6.0,,Kalidas,Asrani,Vikram Gokhale,Rohini Hattangadi,Kalidas Asrani Vikram Gokhale Rohini Hattangadi
5559,Hasti,-1993.0,149,Action,4.7,35,Ashok Gaekwad,Jackie Shroff,Naseeruddin Shah,Nagma,Ashok Gaekwad Jackie Shroff Naseeruddin Shah Nagma
5560,Hate Story,-2012.0,140,"Drama, Thriller",5.3,"3,493",Vivek Agnihotri,Nikhil Dwivedi,Gulshan Devaiah,Paoli Dam,Vivek Agnihotri Nikhil Dwivedi Gulshan Devaiah Paoli Dam
5561,Hate Story 2,-2014.0,130,"Drama, Thriller",4.4,"2,087",Vishal Pandya,Jay Bhanushali,Surveen Chawla,Sushant Singh,Vishal Pandya Jay Bhanushali Surveen Chawla Sushant Singh
5562,Hate Story 3,-2015.0,126,"Drama, Thriller",4.5,"3,047",Vishal Pandya,Sharman Joshi,Karan Singh Grover,Zareen Khan,Vishal Pandya Sharman Joshi Karan Singh Grover Zareen Khan
5563,Hate Story IV,-2018.0,131,"Crime, Drama, Thriller",3.3,"1,470",Vishal Pandya,Urvashi Rautela,Gulshan Grover,Ihana Dhillon,Vishal Pandya Urvashi Rautela Gulshan Grover Ihana Dhillon
5564,Hatey Bazarey,-1967.0,133,Drama,7.9,50,Tapan Sinha,Ajitesh Bannerjee,Bhanu Bannerjee,Samit Bhanja,Tapan Sinha Ajitesh Bannerjee Bhanu Bannerjee Samit Bhanja
5565,Hathapayi Enter the MMA,-1991.0,115,"Action, Comedy",6.0,,Deepak Rao,Kayra R,,,Deepak Rao Kayra R  
5566,Hathili Dulhan,-1932.0,0,,6.0,,J.J. Madan,Abbas,Khurshid Begum,Mukhtar Begum,J.J. Madan Abbas Khurshid Begum Mukhtar Begum
5567,Hathkadi,-1958.0,0,,6.0,,Sudarshan Bhatia,Cuckoo,Jabeen Jalil,Motilal,Sudarshan Bhatia Cuckoo Jabeen Jalil Motilal
5568,Hathyar,-1989.0,140,"Action, Crime",6.0,269,J.P. Dutta,Sangeeta Bijlani,Dharmendra,Sanjay Dutt,J.P. Dutta Sangeeta Bijlani Dharmendra Sanjay Dutt
5569,Hathyar: Face to Face with Reality,-2002.0,140,"Action, Crime, Drama",5.6,625,Mahesh Manjrekar,Sanjay Dutt,Shilpa Shetty Kundra,Sharad S. Kapoor,Mahesh Manjrekar Sanjay Dutt Shilpa Shetty Kundra Sharad S. Kapoor
5570,Hatimtai,-1956.0,0,"Adventure, Fantasy",6.8,17,Homi Wadia,Shakila,Paidi Jairaj,Meenaxi,Homi Wadia Shakila Paidi Jairaj Meenaxi
5571,Hatimtai,-1933.0,0,"Action, Adventure, Fantasy",6.0,,Gulab,Badri Prasad,Maruti Rao,Shantakumari,Gulab Badri Prasad Maruti Rao Shantakumari
5572,Hatimtai,-1947.0,0,"Adventure, Fantasy",6.0,,Ajit,Kamal Kapoor,Kashinath,Vanamala,Ajit Kamal Kapoor Kashinath Vanamala
5573,Hatimtai Ki Beti,-1955.0,133,Adventure,6.0,,Nanubhai Vakil,Chitra,Mahipal,Daljeet,Nanubhai Vakil Chitra Mahipal Daljeet
5574,Hattrick,-2007.0,110,"Comedy, Drama, Romance",4.2,460,Milan Luthria,Nana Patekar,Danny Denzongpa,Paresh Rawal,Milan Luthria Nana Patekar Danny Denzongpa Paresh Rawal
5575,Hatya,-1988.0,151,"Action, Crime, Drama",6.9,390,Kirti Kumar,Govinda,Neelam Kothari,Raj Kiran,Kirti Kumar Govinda Neelam Kothari Raj Kiran
5576,Hatya Chakra,-1995.0,0,Mystery,6.0,,Ajai Sinha,Tinnu Anand,Avtar Gill,Bharat Kapoor,Ajai Sinha Tinnu Anand Avtar Gill Bharat Kapoor
5577,Hatya Kaand,-1998.0,0,Action,6.0,,Girish Manukant,Rakesh Bedi,Prem Chopra,Dinesh Hingoo,Girish Manukant Rakesh Bedi Prem Chopra Dinesh Hingoo
5578,Hatya: The Murder,-2004.0,131,"Action, Crime, Drama",4.1,492,Kader Kashmiri,Akshay Kumar,Varsha Usgaonkar,Navin Nischol,Kader Kashmiri Akshay Kumar Varsha Usgaonkar Navin Nischol
5579,Hatyara,-1977.0,0,"Action, Crime",6.4,32,Surendra Mohan,Vinod Khanna,Moushumi Chatterjee,Rakesh Roshan,Surendra Mohan Vinod Khanna Moushumi Chatterjee Rakesh Roshan
5580,Hatyara,-1998.0,136,Action,5.6,31,T.L.V. Prasad,Mithun Chakraborty,Suman Ranganath,Rami Reddy,T.L.V. Prasad Mithun Chakraborty Suman Ranganath Rami Reddy
5581,Hatyare,-1989.0,0,"Action, Crime, Drama",6.0,,Sunil Kumar,Rita Bhaduri,Bindu,Bharat Kapoor,Sunil Kumar Rita Bhaduri Bindu Bharat Kapoor
5582,Hatyari,-1991.0,111,Horror,6.0,,Sadashiv Amrapurkar,Rakesh Bedi,Dinesh Hingoo,Kalpana Iyer,Sadashiv Amrapurkar Rakesh Bedi Dinesh Hingoo Kalpana Iyer
5583,Hatyarin,-1991.0,129,Horror,4.1,17,Vinod Talwar,Rana Jung Bahadur,Sunil Dhawan,Kamna,Vinod Talwar Rana Jung Bahadur Sunil Dhawan Kamna
5584,Haunted - 3D,-2011.0,143,"Action, Fantasy, Horror",6.3,"2,165",Vikram Bhatt,Mimoh Chakraborty,Tia Bajpai,Achint Kaur,Vikram Bhatt Mimoh Chakraborty Tia Bajpai Achint Kaur
5585,Haunted Evil Dead,-2020.0,98,Horror,6.0,,Sonny Laguna,Tommy Wiklund,Lisa Henni,Amanda Renberg,Sonny Laguna Tommy Wiklund Lisa Henni Amanda Renberg
5586,Haunted Hills,-2020.0,102,Horror,6.7,31,Sanjeev Kumar Rajput,Sharan Anandani,Gavie Chahal,Krishna Chaturvedi,Sanjeev Kumar Rajput Sharan Anandani Gavie Chahal Krishna Chaturvedi
5587,Haunted Hunt,-1991.0,0,Mystery,6.0,,Jakee Patel,Ritika Jilka,Mehool Desai,Chini Musadiya,Jakee Patel Ritika Jilka Mehool Desai Chini Musadiya
5588,Haunted Resort 2016,-2016.0,116,Horror,6.0,,Jai,Sk Thakur,Sheikh Aman,Rajesh Bonik,Jai Sk Thakur Sheikh Aman Rajesh Bonik
5589,Haunted Rooh,-1991.0,0,Horror,6.0,,Jitendra Kumar Singh,Shalini Pandey,Mushtaq Khan,Girish Jain,Jitendra Kumar Singh Shalini Pandey Mushtaq Khan Girish Jain
5590,Hausla,-1984.0,0,Action,6.0,,Satyabhan Sinha,Sangeeta Bhosle,Ravi Kumar,Rashmi,Satyabhan Sinha Sangeeta Bhosle Ravi Kumar Rashmi
5591,Hava Aney Dey,-2004.0,93,Drama,6.2,101,Partho Sen-Gupta,Aniket Vishwasrao,Nishikant Kamat,Tannishtha Chatterjee,Partho Sen-Gupta Aniket Vishwasrao Nishikant Kamat Tannishtha Chatterjee
5592,Havai Dada,-2011.0,101,Drama,6.0,,Ajay Karthik,Tanuja Chandra,Anupam Kher,Tanuja Mukherjee,Ajay Karthik Tanuja Chandra Anupam Kher Tanuja Mukherjee
5593,Haveli,-1985.0,0,"Horror, Crime, Thriller",5.8,30,Keshu Ramsay,Rakesh Roshan,Marc Zuber,Aaloka,Keshu Ramsay Rakesh Roshan Marc Zuber Aaloka
5594,Haveli,-1970.0,0,Mystery,6.0,,Sudarshan Babbar,Sailesh Kumar,Nivedita,Jayshree T.,Sudarshan Babbar Sailesh Kumar Nivedita Jayshree T.
5595,Haveli Ka Hungaama,-1991.0,0,Comedy,6.0,,Kiran Zaveri,,,,Kiran Zaveri   
5596,Haveli Ke Peeche,-1999.0,0,Horror,6.0,,Vijay Chauhan,Rajni Bala,Satnam Kaur,Sohail Khan,Vijay Chauhan Rajni Bala Satnam Kaur Sohail Khan
5597,Hawa,-2003.0,129,"Drama, Horror, Thriller",3.3,290,Guddu Dhanoa,Tabu,Shahbaaz Khan,Mukesh Tiwari,Guddu Dhanoa Tabu Shahbaaz Khan Mukesh Tiwari
5598,Hawa Mahal,-1962.0,0,"Action, Adventure, Comedy",6.0,,B.J. Patel,Bela Bose,Helen,Jeevan,B.J. Patel Bela Bose Helen Jeevan
5599,Hawa Mahal,-2003.0,58,Documentary,6.0,,Vipin Vijay,,,,Vipin Vijay   
5600,Hawa Singh,-1991.0,0,Biography,6.0,,Sarim Momin,Nawab Shah,Bijou Thaangjam,Sooraj Pancholi,Sarim Momin Nawab Shah Bijou Thaangjam Sooraj Pancholi
5601,Hawaa Hawaai,-2014.0,120,"Drama, Family, Sport",7.4,"1,686",Amole Gupte,Makrand Deshpande,Partho A. Gupte,Devraya Gole,Amole Gupte Makrand Deshpande Partho A. Gupte Devraya Gole
5602,Hawai Dhamaka,-1991.0,0,Action,6.0,,R. Thyagaraajan,Prabhu,Charan Raj,Silk Smitha,R. Thyagaraajan Prabhu Charan Raj Silk Smitha
5603,Hawai Khautala,-1946.0,0,,6.0,,Gohar Karnataki,Devraj,Ameena,,Gohar Karnataki Devraj Ameena 
5604,Hawaizaada,-2015.0,148,"Biography, Drama",5.5,"1,753",Vibhu Puri,Naman Jain,Mithun Chakraborty,Kanishka Singh Deo,Vibhu Puri Naman Jain Mithun Chakraborty Kanishka Singh Deo
5605,Hawalaat,-1987.0,0,"Action, Crime, Drama",5.8,43,Surendra Mohan,Rishi Kapoor,Mandakini,Mithun Chakraborty,Surendra Mohan Rishi Kapoor Mandakini Mithun Chakraborty
5606,Hawas,-1974.0,0,"Drama, Family, Romance",6.3,35,Saawan Kumar Tak,Anil Dhawan,Neetu Singh,Pradeep Kumar,Saawan Kumar Tak Anil Dhawan Neetu Singh Pradeep Kumar
5607,Hawas,-2004.0,123,"Drama, Romance, Thriller",2.7,202,Karan Razdan,Shawar Ali,Meghna Naidu,Tarun Arora,Karan Razdan Shawar Ali Meghna Naidu Tarun Arora
5608,Hawas Ke Pujaari,-1990.0,0,Thriller,6.0,,Anu,Kunchan,Sudesh,,Anu Kunchan Sudesh 
5609,Hawas Ki Diwani,-2002.0,53,Thriller,6.0,,,,,,   
5610,Hawas Ki Inteha,-2016.0,116,Romance,6.0,,Komal Dhillon,Baliram Gawad,Sarita Nagar,Namrata Rathod,Komal Dhillon Baliram Gawad Sarita Nagar Namrata Rathod
5611,Hawas Ki Raat,-2000.0,0,Thriller,6.0,,Satnam Kaur,Jeet Upendra,,,Satnam Kaur Jeet Upendra  
5612,Hawaskand,-1997.0,0,Thriller,6.0,,Satidnya Babbar,Rajni Bala,Sudhir Dalvi,Aruna Irani,Satidnya Babbar Rajni Bala Sudhir Dalvi Aruna Irani
5613,Hawayein,-2003.0,176,"Drama, Romance",6.2,180,Amitoj Mann,Amitoj Mann,Babbu Mann,Anandee Tripathi,Amitoj Mann Amitoj Mann Babbu Mann Anandee Tripathi
5614,Hawayein,-2021.0,0,"Adventure, Drama, Romance",6.0,,Yogesh Vats,Bhavesh Kumar,Ester Noronha,Kiran Kumar,Yogesh Vats Bhavesh Kumar Ester Noronha Kiran Kumar
5615,Haye Mera Dil,-1968.0,170,Drama,6.5,11,Ved-Madan,Kishore Kumar,Kumkum,I.S. Johar,Ved-Madan Kishore Kumar Kumkum I.S. Johar
5616,Hayratt,-1992.0,0,Thriller,6.0,,Kirti Rawal,Rakesh Bedi,Anil Dhawan,Sonika Gill,Kirti Rawal Rakesh Bedi Anil Dhawan Sonika Gill
5617,Hazaar Chaurasi Ki Maa,-1998.0,186,Drama,7.1,274,Govind Nihalani,Jaya Bachchan,Anupam Kher,Seema Biswas,Govind Nihalani Jaya Bachchan Anupam Kher Seema Biswas
5618,Hazaar Haath,-1978.0,0,Thriller,6.0,,Bharat Kapoor,Rajni Bala,Daisy Irani,Seema Kapoor,Bharat Kapoor Rajni Bala Daisy Irani Seema Kapoor
5619,Hazaar Pariyan,-1957.0,0,,6.0,,Balwant Bhatt,,,,Balwant Bhatt   
5620,Hazaar Raaten,-1953.0,0,,6.0,,Jayant Desai,,,,Jayant Desai   
5621,Hazaaron Khwaishein Aisi,-2003.0,120,Drama,7.9,"4,744",Sudhir Mishra,Kay Kay Menon,Shiney Ahuja,Chitrangda Singh,Sudhir Mishra Kay Kay Menon Shiney Ahuja Chitrangda Singh
5622,Hazar Pariyan,-1959.0,0,Fantasy,6.0,,S. Sharma,Kamal Kapoor,Ranjana,,S. Sharma Kamal Kapoor Ranjana 
5623,He - The Only One,-2010.0,0,Action,6.0,,Tejas Dhhanraj,Mimoh Chakraborty,Mithun Chakraborty,Neena Gupta,Tejas Dhhanraj Mimoh Chakraborty Mithun Chakraborty Neena Gupta
5624,He Is Back,-1991.0,0,,6.0,,Rajeev Srivastava,,,,Rajeev Srivastava   
5625,Heart of a Murderer,-2013.0,56,"Documentary, Drama",7.8,9,Catherine McGilvray,,,,Catherine McGilvray   
5626,Heartless,-2014.0,131,"Drama, Family, Romance",5.1,458,Shekhar Suman,Adhyayan Suman,Ariana Ayam,Deepti Naval,Shekhar Suman Adhyayan Suman Ariana Ayam Deepti Naval
5627,Heda Hoda,-2003.0,0,Drama,6.0,,Ashok Banthia,Swati Dave,Suhasini Mulay,Parikshit Sahni,Ashok Banthia Swati Dave Suhasini Mulay Parikshit Sahni
5628,Heer,-1956.0,0,Romance,4.8,12,Hameed Butt,Nutan,Pradeep Kumar,Darpan,Hameed Butt Nutan Pradeep Kumar Darpan
5629,Heer Raanjha,-1970.0,142,"Musical, Romance, Drama",7.0,192,Chetan Anand,Raaj Kumar,Priya Rajvansh,Pran,Chetan Anand Raaj Kumar Priya Rajvansh Pran
5630,Heer Ranjha,-1992.0,159,"Drama, Romance",5.1,147,Harmesh Malhotra,Anil Kapoor,Sridevi,Anupam Kher,Harmesh Malhotra Anil Kapoor Sridevi Anupam Kher
5631,Heer Ranjha,-1931.0,0,,6.0,,Jagatrai Pesumal Advani,Master Fakira,Shantakumari,,Jagatrai Pesumal Advani Master Fakira Shantakumari 
5632,Heer Ranjha,-1948.0,0,,6.0,,Mumtaz Shanti,Shreenath,Ghulam Mohammed,Gulab,Mumtaz Shanti Shreenath Ghulam Mohammed Gulab
5633,Heera,-1947.0,0,,6.0,,Ishwarlal,,,,Ishwarlal   
5634,Heera,-1973.0,0,"Action, Drama, Family",5.3,23,Sultan Ahmed,Sunil Dutt,Asha Parekh,Shatrughan Sinha,Sultan Ahmed Sunil Dutt Asha Parekh Shatrughan Sinha
5635,Heera Lal Panna Lal,-1999.0,127,"Drama, Action, Comedy",4.0,60,Kawal Sharma,Mithun Chakraborty,Johnny Lever,Payal Malhotra,Kawal Sharma Mithun Chakraborty Johnny Lever Payal Malhotra
5636,Heera Moti,-1959.0,0,Drama,4.5,11,Krishan Chopra,Shubha Khote,Ashim Kumar,Kumari Naaz,Krishan Chopra Shubha Khote Ashim Kumar Kumari Naaz
5637,Heera Panna,-1973.0,0,Romance,6.5,240,Dev Anand,Dev Anand,Zeenat Aman,Rakhee Gulzar,Dev Anand Dev Anand Zeenat Aman Rakhee Gulzar
5638,Heerabai,-2000.0,104,Action,6.0,,Kishan Shah,Shakti Kapoor,Satnam Kaur,Anil Nagrath,Kishan Shah Shakti Kapoor Satnam Kaur Anil Nagrath
5639,Heeralal Pannalal,-1978.0,0,"Action, Comedy",6.7,77,Ashok Roy,Shashi Kapoor,Randhir Kapoor,Zeenat Aman,Ashok Roy Shashi Kapoor Randhir Kapoor Zeenat Aman
5640,Heera-Moti,-1979.0,0,Action,4.3,6,Chand,Shatrughan Sinha,Reena Roy,Danny Denzongpa,Chand Shatrughan Sinha Reena Roy Danny Denzongpa
5641,Heere Ki Titli,-1970.0,0,Drama,6.0,,,,,,   
5642,Heeriye,-1991.0,144,Thriller,6.0,,Himesh Reshammiya,,,,Himesh Reshammiya   
5643,Heeron Ka Chor,-1982.0,133,Action,3.4,9,S.K. Kapur,Mithun Chakraborty,Chandrashekhar,Leena Das,S.K. Kapur Mithun Chakraborty Chandrashekhar Leena Das
5644,Helen,-2019.0,0,Thriller,6.0,,Saurabh Choudhary,Sunny Leone,Sagar Mahant,,Saurabh Choudhary Sunny Leone Sagar Mahant 
5645,Helicopter Eela,-2018.0,135,Drama,5.6,"1,042",Pradeep Sarkar,Kajol,Riddhi Sen,Tota Roy Chowdhury,Pradeep Sarkar Kajol Riddhi Sen Tota Roy Chowdhury
5646,Hello,-2008.0,129,"Drama, Romance",3.3,"1,981",Atul Agnihotri,Sharman Joshi,Amrita Arora,Sohail Khan,Atul Agnihotri Sharman Joshi Amrita Arora Sohail Khan
5647,Hello Brother,-1999.0,139,"Action, Comedy, Fantasy",4.7,"3,998",Sohail Khan,Salman Khan,Rani Mukerji,Arbaaz Khan,Sohail Khan Salman Khan Rani Mukerji Arbaaz Khan
5648,Hello Charlie,-2021.0,102,Comedy,5.6,"3,167",Pankaj Saraswat,Aadar Jain,Jackie Shroff,Shloka Pandit,Pankaj Saraswat Aadar Jain Jackie Shroff Shloka Pandit
5649,Hello Darling,-2010.0,104,"Comedy, Drama",2.7,115,Manoj Shidheshwari Tiwari,Gul Panag,Celina Jaitly,Isha Koppikar,Manoj Shidheshwari Tiwari Gul Panag Celina Jaitly Isha Koppikar
5650,Hello Doctor,-1998.0,0,Thriller,6.0,,,,,,   
5651,Hello Girls,-2001.0,0,Comedy,6.0,,Ravi Kumar,Anu,Laxmikant Berde,Bhagyashree,Ravi Kumar Anu Laxmikant Berde Bhagyashree
5652,Hello Hum Lallann Bol Rahe Hain,-2010.0,130,"Comedy, Drama",6.3,132,Dilip Shukla,Rajpal Yadav,Preeti Mehra,Makarand Anaspure,Dilip Shukla Rajpal Yadav Preeti Mehra Makarand Anaspure
5653,Hello Hyderabad,-2001.0,0,Drama,6.0,,Basit Khan,Rahul Gandhi,Ahmed Mirza,Rucheeta Sahai,Basit Khan Rahul Gandhi Ahmed Mirza Rucheeta Sahai
5654,Hello Leo,-2016.0,0,Animation,6.0,,Rosauro Adorable,,,,Rosauro Adorable   
5655,Hello Missed Call,-1991.0,85,Mystery,6.0,,Shantanu Anant Tambe,Raayo S. Bakhirta,Arun Nalawade,Tushar Acharya,Shantanu Anant Tambe Raayo S. Bakhirta Arun Nalawade Tushar Acharya
5656,Hello Mumbai: Salaam Mumbai,-2016.0,107,"Comedy, Drama, Romance",3.8,"1,045",Ghorban Mohammadpour,Mohammad Reza Golzar,Dia Mirza,Benyamin Bahadori,Ghorban Mohammadpour Mohammad Reza Golzar Dia Mirza Benyamin Bahadori
5657,Hello Zindagi,-2010.0,125,"Drama, Family",6.0,13,Raja Unnithan,Kitu Gidwani,Milind Gunaji,Neena Gupta,Raja Unnithan Kitu Gidwani Milind Gunaji Neena Gupta
5658,Help,-2010.0,109,"Horror, Thriller",4.3,358,Rajeev Virani,Bobby Deol,Mugdha Godse,Shreyas Talpade,Rajeev Virani Bobby Deol Mugdha Godse Shreyas Talpade
5659,Henna,-1991.0,184,"Drama, Romance, Musical",6.4,667,Randhir Kapoor,Rishi Kapoor,Zeba Bakhtiar,Ashwini Bhave,Randhir Kapoor Rishi Kapoor Zeba Bakhtiar Ashwini Bhave
5660,Her Highness,-1946.0,0,"Action, Drama",6.0,,Balwant Bhatt,Sarla,Dilawar,Meera,Balwant Bhatt Sarla Dilawar Meera
5661,Her Nights,-2002.0,0,Thriller,6.0,,Kishore Anand Bhanushali,Rajesh Sabharwal,Aman Sagar,Kirti Shetty,Kishore Anand Bhanushali Rajesh Sabharwal Aman Sagar Kirti Shetty
5662,Hera Pheri,-1976.0,164,"Action, Comedy, Crime",6.8,998,Prakash Mehra,Saira Banu,Vinod Khanna,Amitabh Bachchan,Prakash Mehra Saira Banu Vinod Khanna Amitabh Bachchan
5663,Hera Pheri,-2000.0,156,"Action, Comedy, Crime",8.2,"59,545",Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Priyadarshan Akshay Kumar Sunil Shetty Paresh Rawal
5664,Hercules,-1964.0,142,Adventure,5.3,33,Shriram,Dara Singh,Mumtaz,Habib,Shriram Dara Singh Mumtaz Habib
5665,Heritage of Thrall,-2018.0,94,Documentary,6.0,,Pragyesh Singh,Premila Pavmani,Buddhadeb Bhattacharya,Ganguly Reshmi Bhattacharya,Pragyesh Singh Premila Pavmani Buddhadeb Bhattacharya Ganguly Reshmi Bhattacharya
5666,Hero,-1944.0,0,Action,6.0,,Vm Gunjal,,,,Vm Gunjal   
5667,Hero,-1983.0,173,"Action, Drama, Romance",6.7,810,Subhash Ghai,Sanjeev Kumar,Shammi Kapoor,Jackie Shroff,Subhash Ghai Sanjeev Kumar Shammi Kapoor Jackie Shroff
5668,Hero,-2015.0,145,"Action, Drama, Musical",3.5,"2,398",Nikkhil Advani,Sooraj Pancholi,Athiya Shetty,Tigmanshu Dhulia,Nikkhil Advani Sooraj Pancholi Athiya Shetty Tigmanshu Dhulia
5669,Hero Hindustani,-1998.0,152,"Action, Comedy, Drama",4.8,308,Aziz Sejawal,Arshad Warsi,Namrata Shirodkar,Kader Khan,Aziz Sejawal Arshad Warsi Namrata Shirodkar Kader Khan
5670,Hero Hiralal,-1988.0,146,"Action, Comedy, Drama",6.2,263,Ketan Mehta,V. Menon,Naseeruddin Shah,Sanjana Kapoor,Ketan Mehta V. Menon Naseeruddin Shah Sanjana Kapoor
5671,Hero No. 1,-1997.0,134,"Comedy, Drama, Musical",6.2,"2,737",David Dhawan,Govinda,Karisma Kapoor,Kader Khan,David Dhawan Govinda Karisma Kapoor Kader Khan
5672,Hero No. 1,-1959.0,0,Action,6.0,,Sultan,Leela Gupte,Kamran,Heera Sawant,Sultan Leela Gupte Kamran Heera Sawant
5673,Hero Wohi Jo Heroine Le Jaye,-2000.0,0,Romance,6.0,,,,,,   
5674,Heroes,-2008.0,139,"Action, Adventure, Comedy",5.5,"2,059",Samir Karnik,Sohail Khan,Vatsal Sheth,Amrita Arora,Samir Karnik Sohail Khan Vatsal Sheth Amrita Arora
5675,Heroine,-2012.0,149,Drama,5.1,"4,132",Madhur Bhandarkar,Kareena Kapoor,Arjun Rampal,Randeep Hooda,Madhur Bhandarkar Kareena Kapoor Arjun Rampal Randeep Hooda
5676,Heroine Ek Raat Ki,-1979.0,0,Drama,6.0,,Raj Wadhwa,Beena Bawa,Harish,Shehnaaz,Raj Wadhwa Beena Bawa Harish Shehnaaz
5677,Heroine No.1,-2001.0,0,"Drama, Thriller",6.0,,Ravi Kumar,Sapna Sappu,Neeraj Bharadwaj,Siraj Khan,Ravi Kumar Sapna Sappu Neeraj Bharadwaj Siraj Khan
5678,Heropanti,-2014.0,146,"Action, Romance",5.3,"8,372",Sabir Khan,Tiger Shroff,Kriti Sanon,Parthaa Akerkar,Sabir Khan Tiger Shroff Kriti Sanon Parthaa Akerkar
5679,Heropanti 2,-2021.0,0,Action,6.0,,Ahmed Khan,Tiger Shroff,Tara Sutaria,Sarwan Ali Palijo,Ahmed Khan Tiger Shroff Tara Sutaria Sarwan Ali Palijo
5680,Hey Bro,-2015.0,113,"Action, Comedy, Drama",2.9,169,Ajay Chandhok,Ganesh Acharya,Maninder Singh,Nupur Sharma,Ajay Chandhok Ganesh Acharya Maninder Singh Nupur Sharma
5681,Hey Johney,-1985.0,0,Romance,6.0,,,,,,   
5682,Hey Ram,-2000.0,186,"Crime, Drama, History",7.9,"11,870",Kamal Haasan,Kamal Haasan,Shah Rukh Khan,Rani Mukerji,Kamal Haasan Kamal Haasan Shah Rukh Khan Rani Mukerji
5683,Hey Ram Hamne Gandhi Ko maar Diya,-2018.0,106,Drama,6.3,166,Naeem Siddiqui,Jatin Goswami,Samiksha Bhatnagar,Subrat Dutta,Naeem Siddiqui Jatin Goswami Samiksha Bhatnagar Subrat Dutta
5684,Heyy Babyy,-2007.0,144,"Comedy, Drama",6.0,"13,705",Sajid Khan,Akshay Kumar,Fardeen Khan,Riteish Deshmukh,Sajid Khan Akshay Kumar Fardeen Khan Riteish Deshmukh
5685,Hi Baby,-1999.0,0,Comedy,6.0,,Sudhir Dalvi,Shakti Kapoor,Sandhya Mehra,,Sudhir Dalvi Shakti Kapoor Sandhya Mehra 
5686,Hi Jack,-2014.0,0,Animation,6.0,,Rajiv Chilaka,,,,Rajiv Chilaka   
5687,Hichki,-2018.0,116,"Comedy, Drama",7.5,"11,094",Siddharth Malhotra,Asif Basra,Rani Mukerji,Neeraj Kabi,Siddharth Malhotra Asif Basra Rani Mukerji Neeraj Kabi
5688,Hide & Seek,-2010.0,105,"Drama, Horror, Thriller",4.2,220,Shawn Arranha,Purab Kohli,Arjan Bajwa,Mrinalini Sharma,Shawn Arranha Purab Kohli Arjan Bajwa Mrinalini Sharma
5689,Hifazat,-1987.0,136,"Drama, Family",5.4,140,Prayag Raj,Ashok Kumar,Nutan,Anil Kapoor,Prayag Raj Ashok Kumar Nutan Anil Kapoor
5690,Hifazat,-1973.0,137,"Drama, Mystery, Romance",6.0,,K.S.R. Das,Vinod Mehra,Asha Sachdev,Ashok Kumar,K.S.R. Das Vinod Mehra Asha Sachdev Ashok Kumar
5691,High Jack,-2018.0,102,Comedy,5.4,303,Akarsh Khurana,Sumeet Vyas,Mantra Mugdh,Sonnalli Seygall,Akarsh Khurana Sumeet Vyas Mantra Mugdh Sonnalli Seygall
5692,Highway,-2014.0,133,"Crime, Drama, Romance",7.6,"27,168",Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar,Imtiaz Ali Alia Bhatt Randeep Hooda Durgesh Kumar
5693,Highway 203,-2007.0,0,Thriller,5.5,13,Shadaab Khan,Kay Kay Menon,Arif Zakaria,Perizaad Zorabian,Shadaab Khan Kay Kay Menon Arif Zakaria Perizaad Zorabian
5694,Highway Courtesans,-2004.0,71,Documentary,7.3,30,Mystelle Brabbee,,,,Mystelle Brabbee   
