,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
12086,Saali Poori Gharwali,-2000.0,0,Thriller,6.0,,Dolly Bindra,Jay Devi,Mahesh Kawal,Yogendra Konkar,Dolly Bindra Jay Devi Mahesh Kawal Yogendra Konkar
12087,Saaligirah,-1959.0,0,Romance,6.0,,,,,,   
12088,Saami Potta Mudhichhu,-1991.0,124,,6.0,,R. Sundarajan,Thalapathi Dinesh,Murali,Disco Shanti,R. Sundarajan Thalapathi Dinesh Murali Disco Shanti
12089,Saamri,-2000.0,0,Horror,3.8,5,Gajendra Chauhan,Junior Govinda,Sohail Khan,Jyoti Rana,Gajendra Chauhan Junior Govinda Sohail Khan Jyoti Rana
12090,Saanch Ko Aanch Nahin,-1979.0,138,"Drama, Family",6.3,13,Satyen Bose,Arun Govil,Madhu Kapoor,Sunder,Satyen Bose Arun Govil Madhu Kapoor Sunder
12091,Saand Ki Aankh,-2019.0,146,"Biography, Drama",7.7,"4,210",Tushar Hiranandani,Taapsee Pannu,Bhumi Pednekar,Prakash Jha,Tushar Hiranandani Taapsee Pannu Bhumi Pednekar Prakash Jha
12092,Saanjh,-2017.0,109,"Drama, Family",8.2,173,Ajay K Saklani,Asif Basra,Tanu Bhardwaj,Aditi Charak,Ajay K Saklani Asif Basra Tanu Bhardwaj Aditi Charak
12093,Saanncha,-2008.0,110,Drama,5.8,12,Aloknath Dixit,Sudha Chandran,Amin Gazi,Archanna Guptaa,Aloknath Dixit Sudha Chandran Amin Gazi Archanna Guptaa
12094,Saansein: The Last Breath,-2016.0,101,"Horror, Romance",3.1,143,Rajiv S. Ruia,Sonarika Bhadoria,Aamir Dalvi,Rajniesh Duggall,Rajiv S. Ruia Sonarika Bhadoria Aamir Dalvi Rajniesh Duggall
12095,Saaransh,-1984.0,137,Drama,8.2,"1,781",Mahesh Bhatt,Rohini Hattangadi,Anupam Kher,Soni Razdan,Mahesh Bhatt Rohini Hattangadi Anupam Kher Soni Razdan
12096,Saare Jahaan Se Mehnga...,-2013.0,120,"Comedy, Drama",7.1,"1,126",Anshul Sharma,Annapoorna,V.M. Badola,Rampal Barsewal,Anshul Sharma Annapoorna V.M. Badola Rampal Barsewal
12097,Saari Raat,-2015.0,83,Drama,5.6,23,Aparna Sen,Ritwick Chakraborty,Anjan Dutt,Konkona Sen Sharma,Aparna Sen Ritwick Chakraborty Anjan Dutt Konkona Sen Sharma
12098,Saas Bahu Aur Sensex,-2008.0,0,"Comedy, Drama",5.1,94,Shona Urvashi,Kirron Kher,Farooq Shaikh,Ankur Khanna,Shona Urvashi Kirron Kher Farooq Shaikh Ankur Khanna
12099,Saas Bhi Kabhi Bahu Thi,-1970.0,0,"Comedy, Drama",6.5,26,V. Madhusudan Rao,Sanjay Khan,Leena Chandavarkar,Jagdeep,V. Madhusudan Rao Sanjay Khan Leena Chandavarkar Jagdeep
12100,Saat Hindustani,-1969.0,144,"Action, Adventure, Drama",6.5,197,Khwaja Ahmad Abbas,Utpal Dutt,Jalal Agha,Anwar Ali,Khwaja Ahmad Abbas Utpal Dutt Jalal Agha Anwar Ali
12101,Saat Ladkiyan,-1989.0,0,Drama,6.0,,Kishan Shetty,Sona Mastan Mirza,Rajan Sippy,Tariq,Kishan Shetty Sona Mastan Mirza Rajan Sippy Tariq
12102,Saat Rang Ke Sapne,-1998.0,171,"Drama, Romance",5.9,96,Priyadarshan,Arvind Swamy,Juhi Chawla,Farida Jalal,Priyadarshan Arvind Swamy Juhi Chawla Farida Jalal
12103,Saat Saheliyan,-2002.0,0,Comedy,6.0,,Narendra Bedi,Divyaa Dwivedi,Pramod Jaiswal,Raaj Malhotra,Narendra Bedi Divyaa Dwivedi Pramod Jaiswal Raaj Malhotra
12104,Saat Saheliyan,-2010.0,0,"Action, Comedy, Drama",3.2,12,Rajkumar R. Pandey,Rani Chatterjee,Rinku Ghosh,Pakhi Hegde,Rajkumar R. Pandey Rani Chatterjee Rinku Ghosh Pakhi Hegde
12105,Saat Samundar Paar,-1965.0,145,"Action, Adventure, Drama",6.0,,Mohammed Hussain,Dara Singh,Ameeta,Shyam Kumar,Mohammed Hussain Dara Singh Ameeta Shyam Kumar
12106,Saat Samundaron Ki Mallika,-1947.0,0,,6.0,,Dhirubhai Desai,Nayantara,Mumtaz,,Dhirubhai Desai Nayantara Mumtaz 
12107,Saat Sawal Yane Haatim Tai,-1971.0,0,"Action, Adventure, Drama",6.0,,Babubhai Mistry,Naval Kumar,Heena Kumari,Sujata,Babubhai Mistry Naval Kumar Heena Kumari Sujata
12108,Saat Uchakkey,-2016.0,139,Comedy,5.7,760,Sanjeev Sharma,Manoj Bajpayee,Vijay Raaz,Aditi Sharma,Sanjeev Sharma Manoj Bajpayee Vijay Raaz Aditi Sharma
